"","lon","lat","cell","supermarket/shop(food)","place_of_worship","School/kindergarten","beauty_salon","bank/atm","mall/shop(non-food)","bus_stop","healthcare","restaurant/cafe","state institutions/NGO","cinema/theatre/museum","pub/bar","university","post_office","totalScore"
"199",44.5399086485581,40.1488524493249,20,19,4.5,7.6,2.25,7.2,2.7,10.8,8.55,5.4,0,0,0,0,0,68
"200",44.5657813629694,40.1621713552915,20,14.4,0,6,2.5,5.4,4.5,9,10.8,5.4,0,0,0,0,4.75,62.75
"201",44.6026076667953,40.1679170039144,21,18,0,10,4.75,9,0,13.5,0,9,0,0,0,0,0,64.25
"202",44.5852875992702,40.1345314007741,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"203",44.5895058499369,40.1658658293332,21,10,0,4.75,2.375,9.5,4.5,6.75,7.125,9,0,0,0,0,0,54
"204",44.6038003155204,40.137427500108,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",44.5886617997428,40.1635883171961,21,9,0,4.75,2.25,9,4.5,15,15,9,0,0,0,0,0,68.5
"206",44.5797544799663,40.1536872114567,21,20,0,10,0,0,0,13.5,15,9,0,0,0,0,0,67.5
"207",44.5960969703597,40.1554095925565,21,18,0,9,4.5,0,0,0,0,0,0,0,0,0,0,31.5
"208",44.5981225434969,40.1626876347535,21,18,0,0,0,0,0,0,0,9,0,0,0,0,0,27
"209",44.5952722956856,40.1434941118746,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210",44.5796699976187,40.135688143121,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211",44.3672680576925,40.1143383869866,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212",44.3661166441545,40.1126820206269,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213",44.368567203721,40.1310285780707,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214",44.3960692984307,40.1180066454375,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215",44.3692190024547,40.1205492579948,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216",44.3740543268725,40.1169430568581,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217",44.386658522695,40.116944374612,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218",44.3866993245552,40.1141178098309,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"219",44.3724417305912,40.1069037145632,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"220",44.3728971738694,40.1104637576418,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",44.4058847044652,40.1294912944256,23,0,0,9,4.5,0,0,0,0,0,0,0,0,0,0,13.5
"222",44.3974683334759,40.1313316930586,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"223",44.4052616006368,40.1209308125975,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
