"","WKT","ID","NAME","NAME_EN","TYPE","point"
"2308","44.5175716730771 40.185756919063",51035,"","","healthcare",10
"2309","44.5177091153155 40.1857013994929",51036,"???????","Venezia","mall/shop(non-food)",14
"2310","44.5179488756648 40.1862340149054",51040,"??????","""Crumbs""","restaurant/cafe",6
"2311","44.5178783579151 40.1863862978114",51041,"","","bank/atm",10
"2312","44.5192603261481 40.1856403210505",51045,"","","supermarket/shop(food)",10
"2313","44.5181414744618 40.1860485161582",51046,"?????","Karma","restaurant/cafe",6
"2314","44.5183089204307 40.1862517206416",51047,"???? ????","Alfa Pharm","healthcare",10
"2315","44.5184876851723 40.1863760037997",51049,"????? ?????","Tashir Pizza","restaurant/cafe",6
"2316","44.51883784847 40.1862318874716",51050,"??????? ???","Burger Pub","restaurant/cafe",6
"2317","44.5191458807809 40.1861317607568",51051,"????","""Mush""","supermarket/shop(food)",10
"2318","44.5189232782535 40.1862854850561",51052,"??? ?????","Vag Sport","sport/fitness",4
"2319","44.5186811822845 40.1865003553567",51053,"ABB  ????????","ABB (ATM)","bank/atm",10
"2320","44.5188169177239 40.1866017168049",51055,"","","supermarket/shop(food)",10
"2321","44.5190706917917 40.1863648862653",51056,"??-????","""T-SHIRT""","mall/shop(non-food)",14
"2322","44.5168469123058 40.1872144116228",51057,"UniBank","","bank/atm",10
"2323","44.5168567039424 40.1872991645586",51058,"Ararat Bank","","bank/atm",10
"2324","44.5179372873977 40.1877133887192",51060,"","","healthcare",10
"2325","44.5182259160985 40.1876908795853",51064,"?????????? ?????????","House-ware Store","mall/shop(non-food)",14
"2326","44.5188276975073 40.1874929635861",51066,"","Come in Yerewan","pub/bar",4
"2327","44.5190474254258 40.1878023958007",51067,"""Beer Garden""","","restaurant/cafe",6
"2328","44.5202768597236 40.1852470843686",51069,"","","mall/shop(non-food)",14
"2329","44.5204673923954 40.1854067812855",51070,"?????","""Mango""","mall/shop(non-food)",14
"2330","44.5206729269324 40.1855594778141",51071,"Beeline","Beeline","mall/shop(non-food)",14
"2331","44.5205627036471 40.1862465736257",51073,"?. ???????? ????? ??? 8 ?????","School N8 after A. Pushkin","School/kindergarten",7
"2332","44.5208332762106 40.1857070955695",51075,"???? ?????","Little Paris","restaurant/cafe",6
"2333","44.5214397288589 40.1855691543016",51076,"Segafredo","","restaurant/cafe",6
"2334","44.5219832994374 40.1853776144938",51077,"Avagyan Medical Center","","healthcare",10
"2335","44.5218023787391 40.1855692915567",51078,"??????","Mankan","mall/shop(non-food)",14
"2336","44.5216025035884 40.1857401739812",51079,"???? ?????? ???????","ACBA-Credit Agricole Bank","bank/atm",10
"2337","44.521218563636 40.1865517566787",51085,"???","""KFC Moskovyan""","restaurant/cafe",6
"2338","44.5194905643555 40.1867608615218",51087,"???????","""Melante"", Made in Armenia","mall/shop(non-food)",14
