"","longitude","latitude","district","supermarket/shop(food)","place_of_worship","School/kindergarten","beauty_salon","bank/atm","mall/shop(non-food)","bus_stop","healthcare","restaurant/cafe","state institutions/NGO","cinema/theatre/museum","pub/bar","university","post_office","totalScore"
"Nor Nork.3",44.5623095929071,40.1745682653264,"Nor Nork",20,4.5,9,4.75,9.5,2.85,15,14.25,7.2,0,0,0,2.25,2.85,92.15
"Nor Nork.4",44.5673000561384,40.1649540932804,"Nor Nork",16,0,8,3,7.2,2.25,11.4,11.4,5.4,0,0,0,4.5,2.375,71.525
"Nor Nork.5",44.5740371322219,40.1969424970633,"Nor Nork",18,4.5,8,4.5,9.5,4.75,12,12,8,0,0,0,2.375,2.375,86
"Nor Nork.6",44.56757019479,40.1907542790685,"Nor Nork",20,4.5,9,4.5,10,4,15,15,8,0,0,0,3.6,3.8,97.4
"Nor Nork.7",44.5524834348793,40.1660895019503,"Nor Nork",15.2,4.5,5.4,2.5,6,4.75,8.55,8.55,7.2,0,4.5,4.5,0,4.75,76.4
"Nor Nork.8",44.5612135020672,40.1732372088098,"Nor Nork",20,4.5,9,4,9.5,2.85,14.25,14.25,7.2,0,0,0,2.25,2.85,90.65
"Nor Nork.9",44.5744775824787,40.1719099080973,"Nor Nork",18,0,9.5,4.5,7.2,2.7,12,12,7.2,0,0,0,4.5,2.85,80.45
"Nor Nork.10",44.5861867111565,40.1764141102566,"Nor Nork",12,0,6,3,5.4,2.25,9,8.55,5.4,0,0,0,4.5,2.375,58.475
"Nor Nork.11",44.5674108038903,40.1958811129647,"Nor Nork",19,4.5,8,4,10,5,15,13.5,10,0,0,0,2.7,2.85,94.55
"Nor Nork.12",44.563200591678,40.1661021428343,"Nor Nork",18,4.5,8,3,7.2,2.25,11.4,11.4,5.4,0,0,0,4.5,2.375,78.025
"Nor Nork.13",44.55278018972,40.1638484847529,"Nor Nork",12,0,5.4,2.375,5.7,4.5,8.1,8.1,7.2,0,0,0,0,4.75,58.125
"Nor Nork.14",44.5813913261446,40.2045871488569,"Nor Nork",15.2,2.25,7.2,3.6,6,3,12,11.4,9,0,0,0,3.6,0,73.25
"Nor Nork.15",44.5796501757278,40.1813300825219,"Nor Nork",16,0,7.2,3.8,8,2.85,13.5,12,5.7,0,0,0,4.5,3.8,77.35
