"","X","TYPE","lon","lat","cell","districtName","districtpoints"
"1086",1086,"Shops",44.4920521528227,40.1481676007915,8,"Hello",0
"1087",1087,"Shops",44.4842625914995,40.1512258884166,8,"Hello",0
"1088",1088,"Shops",44.4856102440888,40.1527321852157,8,"Hello",0
"1089",1089,"Shops",44.4972706459712,40.1481442545548,8,"Hello",0
"1090",1090,"Shops",44.495629064621,40.1489578661696,8,"Hello",0
"1091",1091,"Shops",44.4972914868858,40.1483378220804,8,"Hello",0
"1092",1092,"Shops",44.4947350612503,40.1498023667277,8,"Hello",0
"1093",1093,"Shops",44.4978187081261,40.1506511138844,8,"Hello",0
"1094",1094,"Shops",44.4999621782255,40.1519057790927,8,"Hello",0
"1095",1095,"Shops",44.4997358027739,40.1519669565606,8,"Hello",0
"1096",1096,"Shops",44.4977675939864,40.1523171982201,8,"Hello",0
"1097",1097,"Shops",44.509896197795,40.1455994666531,11,"Hello",0
"1098",1098,"Shops",44.5098565820909,40.1467571990351,11,"Hello",0
"1099",1099,"Shops",44.5156032846265,40.1440930116682,11,"Hello",0
"1100",1100,"Shops",44.5158382839048,40.1472355990569,11,"Hello",0
"1101",1101,"Shops",44.5159356612816,40.1469741858268,11,"Hello",0
"1102",1102,"Shops",44.5162368663964,40.1490996584026,11,"Hello",0
"1103",1103,"Shops",44.5088409468307,40.1496587907007,11,"Hello",0
"1104",1104,"Shops",44.5099469526085,40.1526677127168,11,"Hello",0
"1105",1105,"Shops",44.5161465857103,40.1507979149621,11,"Hello",0
"1106",1106,"Shops",44.5163196910656,40.1521173938483,11,"Hello",0
"1107",1107,"Shops",44.5142602134452,40.1550156669001,11,"Hello",0
"1108",1108,"Shops",44.5145942070678,40.1547693198739,11,"Hello",0
"1109",1109,"Shops",44.5149653909432,40.1547560687404,11,"Hello",0
"1110",1110,"Shops",44.5040452906864,40.1639375917969,9,"Hello",0
"1111",1111,"Shops",44.5087671053143,40.1553602628714,11,"Hello",0
"1112",1112,"Shops",44.5110260089278,40.1582829074237,11,"Hello",0
"1113",1113,"Shops",44.5110401124778,40.1601190649446,11,"Hello",0
"1114",1114,"Shops",44.5145680660931,40.1551557986866,11,"Hello",0
"1115",1115,"Shops",44.5112226501435,40.1586242600386,11,"Hello",0
"1116",1116,"Shops",44.5113241597706,40.1589691123156,11,"Hello",0
"1117",1117,"Shops",44.5115051703003,40.1591893554971,11,"Hello",0
"1118",1118,"Shops",44.5114364491811,40.1602736033626,11,"Hello",0
"1119",1119,"Shops",44.524571705097,40.1293456643647,11,"Hello",0
"1120",1120,"Shops",44.5273746284465,40.1279062985541,11,"Hello",0
"1121",1121,"Shops",44.5245697288034,40.1310898139842,11,"Hello",0
"1122",1122,"Shops",44.5245881442667,40.1317105649497,11,"Hello",0
"1123",1123,"Shops",44.5245495167095,40.1328721054098,11,"Hello",0
"1124",1124,"Shops",44.5272885698423,40.131003754568,11,"Hello",0
"1125",1125,"Shops",44.5251919019692,40.1319765699072,11,"Hello",0
"1126",1126,"Shops",44.5251335114757,40.1320874908509,11,"Hello",0
"1127",1127,"Shops",44.5257244232696,40.1320554165161,11,"Hello",0
"1128",1128,"Shops",44.5269826934881,40.1324366674262,11,"Hello",0
"1129",1129,"Shops",44.5275275217079,40.1326806916114,11,"Hello",0
"1130",1130,"Shops",44.5280400105775,40.1289567034178,11,"Hello",0
"1131",1131,"Shops",44.5279843150299,40.1327568588458,11,"Hello",0
"1132",1132,"Shops",44.5172798104412,40.1369201028228,11,"Hello",0
"1133",1133,"Shops",44.5244523189958,40.1361268816273,11,"Hello",0
"1134",1134,"Shops",44.5247209152657,40.1366614656564,11,"Hello",0
"1135",1135,"Shops",44.5224633591252,40.1374099723786,11,"Hello",0
"1136",1136,"Shops",44.5174705227761,40.1389897141121,11,"Hello",0
"1137",1137,"Shops",44.5219925520848,40.1416379636934,11,"Hello",0
"1138",1138,"Shops",44.5220655851174,40.1421451044507,11,"Hello",0
"1139",1139,"Shops",44.5218605895695,40.1421571906297,11,"Hello",0
"1140",1140,"Shops",44.522072322482,40.1421920070539,11,"Hello",0
"1141",1141,"Shops",44.5257281063623,40.1390721923374,11,"Hello",0
"1142",1142,"Shops",44.5222212631561,40.1437068132519,11,"Hello",0
"1143",1143,"Shops",44.5273594469182,40.1413921861948,11,"Hello",0
"1144",1144,"Shops",44.5277545259802,40.1345700121718,11,"Hello",0
"1145",1145,"Shops",44.5315724557692,40.13658241836,11,"Hello",0
"1146",1146,"Shops",44.5328169817638,40.1359799801664,11,"Hello",0
"1147",1147,"Shops",44.5329302593212,40.1362387572815,11,"Hello",0
"1148",1148,"Shops",44.5322921859749,40.1373459660705,11,"Hello",0
"1149",1149,"Shops",44.5323660274912,40.1374658748343,11,"Hello",0
"1150",1150,"Shops",44.5378249098097,40.1372426767939,11,"Hello",0
"1151",1151,"Shops",44.5293511915662,40.1412108225696,11,"Hello",0
"1152",1152,"Shops",44.5304440819408,40.1412185138805,11,"Hello",0
"1153",1153,"Shops",44.5298406835645,40.1416589773193,11,"Hello",0
"1154",1154,"Shops",44.5299693223132,40.1416830811762,11,"Hello",0
"1155",1155,"Shops",44.533813393077,40.1409362696707,11,"Hello",0
"1156",1156,"Shops",44.540505213123,40.1427446724788,11,"Hello",0
"1157",1157,"Shops",44.5409129584304,40.1431503101081,11,"Hello",0
"1158",1158,"Shops",44.5416381683593,40.1427202943149,11,"Hello",0
"1159",1159,"Shops",44.5416938639069,40.1428684172773,11,"Hello",0
