"","TYPE","point","lon","lat"
"1128","healthcare",10,44.497690518535,40.1836995763788
"1129","healthcare",10,44.4992188223279,40.18267657797
"1130","bank/atm",10,44.49937881228,40.1829475992437
"1131","bank/atm",10,44.4993910293679,40.1829887087321
"1132","bank/atm",10,44.4994083668529,40.1830180138112
"1133","restaurant/cafe",6,44.5046407838883,40.1831042818513
"1134","sport/fitness",4,44.5054400149965,40.1827426004717
"1135","restaurant/cafe",6,44.5048712017586,40.1838200209701
"1136","School/kindergarten",7,44.505294398089,40.1835380224432
"1137","state institutions/NGO",4,44.5053407511576,40.1842467568379
"1138","supermarket/shop(food)",10,44.5046503060303,40.1849025028472
"1139","state institutions/NGO",4,44.5055983879811,40.1849186991101
"1140","place_of_worship",3,44.5037173157762,40.1853170161546
"1141","state institutions/NGO",4,44.5047438206513,40.1862296914109
"1142","state institutions/NGO",4,44.5047181288342,40.1872304014561
"1143","state institutions/NGO",4,44.5063606983312,40.1770376623756
"1144","state institutions/NGO",4,44.5070038022431,40.1773516036129
"1145","sport/fitness",4,44.5070995626524,40.1774052768492
"1146","restaurant/cafe",6,44.5079769471904,40.1772148121679
"1147","pub/bar",4,44.5076074701141,40.1778462605907
"1148","supermarket/shop(food)",10,44.5073193804024,40.1781122221621
"1149","mall/shop(non-food)",14,44.5080109933397,40.1779457818169
"1150","beauty_salon",4,44.5081315472508,40.1779993859479
"1151","mall/shop(non-food)",14,44.5081788884663,40.1780582749444
"1152","supermarket/shop(food)",10,44.5082247923773,40.1781015150842
"1153","supermarket/shop(food)",10,44.5066120469477,40.1784278056628
"1154","restaurant/cafe",6,44.508950990453,40.1779444777466
"1155","state institutions/NGO",4,44.5103175974947,40.177139518415
"1156","bank/atm",10,44.5108175997819,40.1772930571828
"1157","cinema/theatre/museum",6,44.5108551493608,40.1773396609689
"1158","mall/shop(non-food)",14,44.510659855618,40.1776212734461
"1159","supermarket/shop(food)",10,44.5090926547733,40.1787468194192
"1160","School/kindergarten",7,44.5090573509826,40.1796304824381
"1161","mall/shop(non-food)",14,44.5093122928603,40.1796332964146
"1162","mall/shop(non-food)",14,44.5095401056163,40.1794705660223
"1163","restaurant/cafe",6,44.5100552894318,40.1790387898171
"1164","bank/atm",10,44.5103836236681,40.1789206016692
"1165","mall/shop(non-food)",14,44.5105393017068,40.1787057073605
"1166","bank/atm",10,44.5106579691559,40.1786350824136
"1167","mall/shop(non-food)",14,44.5107840027902,40.1785724190123
