"","TYPE","point","lon","lat","cell"
"1346","supermarket/shop(food)",10,44.4924288164214,40.1999700122771,11
"1347","restaurant/cafe",6,44.4921043449407,40.2001536204031,11
"1348","beauty_salon",4,44.4927105280945,40.2000808221735,11
"1349","supermarket/shop(food)",10,44.4933839052314,40.1992346142086,11
"1350","mall/shop(non-food)",14,44.4937119699732,40.1998791686109,11
"1351","bus_stop",4,44.494005359745,40.1996910998788,11
"1352","restaurant/cafe",6,44.4929733751466,40.2005080046364,11
"1353","beauty_salon",4,44.4935694971691,40.2009953571211,11
"1354","bus_stop",4,44.4940888132349,40.2003851196261,11
"1355","supermarket/shop(food)",10,44.4935054472894,40.2011220146761,11
"1356","bank/atm",10,44.4937786249673,40.2012534062016,11
"1357","supermarket/shop(food)",10,44.4942978512015,40.2014652101769,11
"1358","bank/atm",10,44.4944943127541,40.2015050734361,11
"1359","mall/shop(non-food)",14,44.4946207955461,40.2015240788028,11
"1360","supermarket/shop(food)",10,44.4899261100398,40.2020751635068,11
"1361","supermarket/shop(food)",10,44.4897773490288,40.2028309765777,11
"1362","supermarket/shop(food)",10,44.4907159088376,40.2021203780515,11
"1363","healthcare",10,44.4911933634111,40.2021817847065,11
"1364","supermarket/shop(food)",10,44.491147100174,40.2022606184201,11
"1365","supermarket/shop(food)",10,44.4908512849509,40.2039900656925,11
"1366","School/kindergarten",7,44.4919252208731,40.2040024152982,11
"1367","supermarket/shop(food)",10,44.49200732689,40.2044439122227,4
"1368","healthcare",10,44.4934558602857,40.2036155971369,11
"1369","restaurant/cafe",6,44.4954470659445,40.1894939198979,11
"1370","restaurant/cafe",6,44.4966410167886,40.1897899614428,11
"1371","School/kindergarten",7,44.4970093260551,40.1930028966788,11
"1372","healthcare",10,44.4986512667314,40.1929305711127,11
"1373","healthcare",10,44.4983805145048,40.1931636732539,11
"1374","mall/shop(non-food)",14,44.4987343608952,40.1934229872938,11
"1375","bus_stop",4,44.4992813450717,40.1927004188455,11
"1376","healthcare",10,44.4987740664307,40.1929113574769,11
"1377","bank/atm",10,44.4991978915818,40.1931518706331,11
"1378","School/kindergarten",7,44.5003886983224,40.1927931934968,11
"1379","supermarket/shop(food)",10,44.5040823911077,40.1909065905227,12
"1380","cinema/theatre/museum",6,44.5050425104833,40.1907775121053,12
"1381","bank/atm",10,44.5047776871376,40.1918900762775,12
"1382","supermarket/shop(food)",10,44.5048890782328,40.1918657843785,12
"1383","bus_stop",4,44.5049130632509,40.1919746175075,12
"1384","supermarket/shop(food)",10,44.5050906601825,40.1918837631294,12
"1385","bank/atm",10,44.5050346951403,40.1919073001892,12
"1386","beauty_salon",4,44.5052314261876,40.1918461587137,12
"1387","School/kindergarten",7,44.5054660661398,40.1917721850031,12
"1388","restaurant/cafe",6,44.5040591247418,40.1929956915737,12
"1389","restaurant/cafe",6,44.504094698027,40.1930280802307,12
"1390","bus_stop",4,44.5050250831668,40.1922252212489,12
"1391","university",6,44.5044128813007,40.1932488990943,12
"1392","mall/shop(non-food)",14,44.4966877291834,40.1946857824038,11
"1393","bank/atm",10,44.4951616711787,40.1951865572166,11
"1394","healthcare",10,44.495289052286,40.195537673772,11
"1395","mall/shop(non-food)",14,44.4954335912152,40.1954521763377,11
"1396","mall/shop(non-food)",14,44.4953901127555,40.1954819563552,11
"1397","mall/shop(non-food)",14,44.4978841953103,40.1939665897449,11
"1398","restaurant/cafe",6,44.4984431270801,40.1936097010229,11
"1399","mall/shop(non-food)",14,44.4986229697999,40.1935121927412,11
"1400","supermarket/shop(food)",10,44.4988357806908,40.1959976151823,11
"1401","healthcare",10,44.4991501910402,40.1958957188387,11
"1402","beauty_salon",4,44.4952301228034,40.1962493019256,11
"1403","supermarket/shop(food)",10,44.4947607530674,40.1970237062586,11
"1404","School/kindergarten",7,44.4957188063179,40.1976492066155,11
"1405","supermarket/shop(food)",10,44.4970839760552,40.1979144043997,11
"1406","healthcare",10,44.4960110282798,40.1987493761086,11
"1407","supermarket/shop(food)",10,44.4968773635398,40.1986796640149,11
