"X","TYPE","lon","lat","cell"
2607,"Restaurants, cafe, fast-food",44.4979910948291,40.1806242893105,"3,7"
2609,"Restaurants, cafe, fast-food",44.4989673838799,40.1804929950796,"3,7"
2617,"Restaurants, cafe, fast-food",44.5028406498904,40.1776236070567,"3,7"
2624,"Restaurants, cafe, fast-food",44.5018595997686,40.178776812675,"3,7"
2640,"Restaurants, cafe, fast-food",44.5039846544047,40.178126910074,"3,7"
2684,"Restaurants, cafe, fast-food",44.5048712017586,40.1838200209701,"3,7"
2709,"Restaurants, cafe, fast-food",44.5079769471904,40.1772148121679,"3,7"
2744,"Restaurants, cafe, fast-food",44.5100552894318,40.1790387898171,"3,7"
2758,"Restaurants, cafe, fast-food",44.5101143985775,40.1794858027099,"3,7"
2759,"Restaurants, cafe, fast-food",44.5102270473141,40.1795569072069,"3,7"
2787,"Restaurants, cafe, fast-food",44.5059761295581,40.1820166925749,"3,7"
2819,"Restaurants, cafe, fast-food",44.508437064279,40.1812865903653,"3,7"
2832,"Restaurants, cafe, fast-food",44.5109155161478,40.1814270110847,"3,7"
2850,"Restaurants, cafe, fast-food",44.5124916103138,40.1786468189259,"3,7"
2852,"Restaurants, cafe, fast-food",44.5132141252968,40.1790470945515,"3,7"
2853,"Restaurants, cafe, fast-food",44.5133126704835,40.1791318576912,"3,7"
2854,"Restaurants, cafe, fast-food",44.5133905544186,40.1792346714626,"3,7"
2856,"Restaurants, cafe, fast-food",44.5133341402188,40.1796727607065,"3,7"
2871,"Restaurants, cafe, fast-food",44.5151362505103,40.1787928731315,"3,7"
2885,"Restaurants, cafe, fast-food",44.5164671944352,40.1797391979321,"3,7"
2890,"Restaurants, cafe, fast-food",44.5124413944894,40.1805752170062,"3,7"
2892,"Restaurants, cafe, fast-food",44.5133756423849,40.1798810631538,"3,7"
2894,"Restaurants, cafe, fast-food",44.5115102008659,40.1819295995768,"3,7"
2895,"Restaurants, cafe, fast-food",44.5115859288444,40.1823789955017,"3,7"
2896,"Restaurants, cafe, fast-food",44.5117284016484,40.1824138599358,"3,7"
2900,"Restaurants, cafe, fast-food",44.5130211671738,40.1816808108459,"3,7"
2908,"Restaurants, cafe, fast-food",44.513703078306,40.1823700734979,"3,7"
2914,"Restaurants, cafe, fast-food",44.5143552552023,40.1807763789121,"3,7"
2918,"Restaurants, cafe, fast-food",44.5147940822186,40.1810719094466,"3,7"
2920,"Restaurants, cafe, fast-food",44.515494408814,40.1805737070885,"3,7"
2923,"Restaurants, cafe, fast-food",44.5158269651322,40.1805540781564,"3,7"
2927,"Restaurants, cafe, fast-food",44.5157727967206,40.1809054077293,"3,7"
2928,"Restaurants, cafe, fast-food",44.5158798759025,40.1809949041689,"3,7"
2930,"Restaurants, cafe, fast-food",44.5159308103791,40.1806006110702,"3,7"
2941,"Restaurants, cafe, fast-food",44.5148503167553,40.1818664587991,"3,7"
2955,"Restaurants, cafe, fast-food",44.5154109553242,40.1819989171021,"3,7"
2956,"Restaurants, cafe, fast-food",44.5153880482844,40.182153199815,"3,7"
2958,"Restaurants, cafe, fast-food",44.5161540417272,40.1821978785956,"3,7"
2964,"Restaurants, cafe, fast-food",44.5064552010991,40.1847870700481,"3,7"
