"","TYPE","point","lon","lat","cell","districtName"
"203","healthcare",10,44.465213007416,40.1729983706208,6,"Malatia-Sebastia"
"205","supermarket/shop(food)",10,44.4508748175031,40.17874929026,6,"Malatia-Sebastia"
"206","School/kindergarten",7,44.4575306151062,40.1782374811218,6,"Malatia-Sebastia"
"208","place_of_worship",3,44.4573172652263,40.1792897158877,6,"Malatia-Sebastia"
"209","bank/atm",10,44.458737771185,40.1784366595502,6,"Malatia-Sebastia"
"214","School/kindergarten",7,44.4552097277382,40.1828459578141,6,"Malatia-Sebastia"
"215","School/kindergarten",7,44.4541295934406,40.1848946792273,6,"Malatia-Sebastia"
"216","mall/shop(non-food)",14,44.4594893017517,40.1833447611549,6,"Malatia-Sebastia"
"217","bank/atm",10,44.459608687853,40.1833182014107,6,"Malatia-Sebastia"
"218","restaurant/cafe",6,44.4595041239539,40.183569180284,6,"Malatia-Sebastia"
"219","bus_stop",4,44.4605528172166,40.1830732610572,6,"Malatia-Sebastia"
"220","supermarket/shop(food)",10,44.460505116675,40.1831045563716,6,"Malatia-Sebastia"
"221","bus_stop",4,44.4608093760617,40.1830097095629,6,"Malatia-Sebastia"
"222","healthcare",10,44.4605105065667,40.1833713208887,6,"Malatia-Sebastia"
"223","healthcare",10,44.4609650541005,40.183286288526,6,"Malatia-Sebastia"
"225","bank/atm",10,44.4610037714892,40.1834595787409,6,"Malatia-Sebastia"
"226","bank/atm",10,44.4615197637884,40.1848195998817,6,"Malatia-Sebastia"
"227","bank/atm",10,44.4608505189018,40.1853907910224,6,"Malatia-Sebastia"
"228","School/kindergarten",7,44.4618723525374,40.1858466836119,6,"Malatia-Sebastia"
"229","bank/atm",10,44.4621195689036,40.1873800057217,6,"Malatia-Sebastia"
"230","healthcare",10,44.4621325944752,40.1874623565527,6,"Malatia-Sebastia"
"232","restaurant/cafe",6,44.4312427657894,40.1914821221884,13,"Ajapnyak"
"233","supermarket/shop(food)",10,44.4588222128217,40.1890792948667,13,"Ajapnyak"
"234","bank/atm",10,44.4614735005513,40.190363581148,13,"Ajapnyak"
"235","restaurant/cafe",6,44.4621219045234,40.1881841573085,6,"Malatia-Sebastia"
"236","restaurant/cafe",6,44.463187755608,40.1905172958567,6,"Malatia-Sebastia"
